Título,Ofertas,Serie,Pantalla_Tamaño (pulgadas),Pantalla_Diagonal (cm),Pantalla_Tecnología,Pantalla_Luminosidad (cd/m²),Procesador,Disco_Duro_Tipo,Gráfica_Salida,Gráfica_Resolución externa,Conectividad_Lector de tarjetas,Comunicaciones_Conectividad,Comunicaciones_Versión Bluetooth,Cámara_Webcam,Cámara_Función de la cámara,Cámara_Resolución de la cámara,Teclado_Tipo de teclado,Teclado_Número de teclas,Teclado_Teclas adicionales,Sonido_Número de altavoces,Alimentación_Batería,Alimentación_Autonomía de la batería,Alimentación_Vatios-hora,Alimentación_Alimentación,Medidas y peso_Material de la carcasa,Medidas y peso_Diseño,Medidas y peso_Profundidad,Medidas y peso_Altura,Medidas y peso_Ancho,Medidas y peso_Peso,Otras características_Equipamiento,Otras características_Seguridad integrada,Otras características_Sensor,Otras características_Fecha de lanzamiento,Comunicaciones_Estándar wifi,Pantalla_Resolución de pantalla,Pantalla_Densidad de píxeles,Pantalla_Tasa de actualización de imagen,Procesador_Fabricante del procesador,Procesador_Tipo de procesador,Disco duro_Número de discos duros (instalados),Gráfica_Fabricante de la tarjeta gráfica,Gráfica_Memoria gráfica,Sistema operativo_Sistema operativo,Conectividad_Tipo de tarjetas compatibles,Sonido_Sistema de altavoces,Pantalla_Formato de imagen,Procesador_Nombre en clave del procesador,Procesador_Nivel de caché,Procesador_Caché,RAM_Memoria RAM,RAM_Tipo de RAM,RAM_Frecuencia de la memoria,Disco duro_Capacidad de memoria SSD,Teclado_Característica del teclado,Sonido_Potencia de altavoces,Alimentación_Número de celdas,Medidas y peso_Color,Otras características_Portátil configurable,Procesador_Número de núcleos del procesador,Procesador_Frecuencia de reloj,Procesador_Frecuencia turbo máx.,Procesador_Potencia máx. de diseño térmico (TDP),Gráfica_Tipo de memoria gráfica,Sistema operativo_Arquitectura bit,Pantalla_Tiempo de reacción,RAM_Extensión de memoria máxima,Gráfica_Tarjeta gráfica,Comunicaciones_Transmisión de datos,Almacenamiento_Lector óptico,Alimentación_Voltaje de salida,Alimentación_Intensidad de corriente,Otras características_Características especiales,Pantalla_Pantalla,Comunicaciones_Estándar LAN,Sonido_Modo de sonido HDMI,Alimentación_Capacidad de la batería,Otras características_Certificación,IA_Característica IA,RAM_Número de ranuras de memoria RAM,RAM_Ranura de memoria RAM instaladas,RAM_Configuración de memoria RAM,Procesador_Chipset,Otras características_Software incluido,Gráfica_GPU,Pantalla_Propiedades de la pantalla,IA_Función IA,IA_Procesador IA,Disco duro_Capacidad del disco duro,Otras características_Localización,Conectividad_Conexión,Otras características_Expansión de hardware,Otras características_Artículo incluido,Otras características_Características de la carcasa,Otras características_Certificado,Gráfica_Característica de la tarjeta gráfica,Tipo,Conectividad_Conexión frontal,Propiedades de la carcasa_Tipo de caja,Propiedades de la carcasa_Color,Medidas y peso_Alto,Propiedades de la carcasa_Material de la carcasa,Propiedades de la carcasa_Alimentación,Adecuado para,Procesador_Frecuencia del reloj,Procesador_Zócalo de CPU,Procesador_Número de hilos de ejecución,Procesador_TDP,Procesador_Chipset de la placa base,RAM_Número de ranuras para memoria RAM,Gráfica_Número de ranuras para PCIe,"Propiedades de la carcasa_Bahía interna de 2,5""","Propiedades de la carcasa_Bahía interna de 3,5""",Disco duro_Capacidad disco duro (TB),"Propiedades de la carcasa_Bahía externa de 5,25""",Otras características_Modo de sonido,Propiedades de la carcasa_Superficie del material,Disco duro_Capacidad disco duro (GB),"Propiedades de la carcasa_Bahía externa de 3,5""",Procesador_Procesadores compatibles,Precio_Min,Precio_Max,Precio_Mean,Categoria_General
"GigaByte BRIX Extreme
GB-BEi5-1240",1.0,GigaByte BRIX,,,,,Intel Core i5-1240P,disco duro SSD,HDMI,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,,,,,,,,,,,,,,"13,42 cm",,"13,91 cm",,,,,,IEEE 802.11ax,,,,,,0.0,,,ninguno,,,,,,,,DDR4,,,,,,,,,,,,,,,,Intel Iris Xe Graphics,,,,,,,LAN 10/100/1000/2500,,,,,,,,,,,,,,,,,,,,,,Desktop,,,negro,"4,83 cm",,corriente alterna 120/230 V,bricolaje,,,,,,,,,,,,,,,,,586.77,586.77,586.77,Otro
"Lenovo ThinkCentre M70q Gen4
12E3004NGE",1.0,Lenovo ThinkCentre,,,,,Intel Core i7-13700T,disco duro M.2 SSD,,,,"wifi, Bluetooth, Ethernet",,,,,,,,,,,,,,,"18,3 cm",,"3,65 cm","1,25 kg",disco duro SSD,,,,,,,,Intel,Core i7,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,Raptor Lake,,30 MB,16 GB,DDR4,3.200 MHz,512 GB,,,,,,16 núcleos,,"4,9 GHz",,,,,,Intel UHD Graphics 770,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,"17,9 cm",,90 W,empresas,"1,4 GHz",,24.0,,Intel Q670,,,,,,,,,,,,1159.99,1159.99,1159.99,Otro
"Lenovo ThinkCentre M70q G3
11TY000DIX",1.0,Lenovo ThinkCentre,,,,,Intel Core i5-12400F,disco duro SSD,,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,,,,,,,,,,,,,,"18,3 cm",,"17,9 cm","8,4 kg",,,,,IEEE 802.11ax,,,,Intel,Core i5,1.0,,8192 MB,Microsoft Windows 11 Home,,,,Alder Lake,,18 MB,16 GB,DDR4,3.200 MHz,512 GB,,,,,,6 núcleos,2.500 MHz,"4,4 GHz",,GDDR6,64-Bit,,32 GB,NVIDIA GeForce RTX 3050,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,"3,65 cm",,380 W / corriente alterna 120/230 V,empresas,"2,5 GHz",Socket 1700,12.0,65 W,Intel Q670,2.0,,,,,,,,,,,769.0,769.0,769.0,Otro
"Lenovo ThinkCentre M70q G3
11UD0002GE",1.0,Lenovo ThinkCentre,,,,,Intel Core i7-12700T,disco duro M.2 SSD,,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,,,,,,,,,,,,,,"18,3 cm",,"17,9 cm",,,,,,IEEE 802.11ax,,,,Intel,Core i7,1.0,,,Microsoft Windows 11 Professional,,,,Alder Lake,,25 MB,16 GB,DDR4,3.200 MHz,512 GB,,,,,,12 núcleos,3.400 MHz,"4,7 GHz",,,,,,Intel UHD Graphics 770,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,"3,65 cm",,135 W / corriente alterna 120/230 V,empresas,"3,4 GHz",Socket 1700,20.0,35 W,Intel Q670,,,,,,,,,,,,1017.0,1017.0,1017.0,Otro
"HP 295 G8 Microtorre
5W6G7EA",1.0,,,,,,AMD Ryzen 3 5300G,disco duro M.2 SSD,,,,Ethernet,,,,,,,,,,,,,,,"29,7 cm",,"15,5 cm","5,52 kg",,,,,,,,,AMD,Ryzen 3,1.0,,,Microsoft Windows 11 Professional,,,,,,8 MB,8 GB,DDR4,3.200 MHz,256 GB,,,,,,4 núcleos,,"4,4 GHz",,,64-Bit,,,,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,1 entrada micrófono,,,,,,Desktop,,microtorre,negro,"33,7 cm",,,empresas,4 GHz,,8.0,,,1.0,,,,,,,,,,,604.46,604.46,604.46,Otro
"Captiva Workstation I74
I74-689",1.0,,,,,,Intel Core i7-12700K,disco duro SSD,,,,Ethernet,,,,,,,,,,,,,,,"46,2 cm",,"18,5 cm",,"lector de tarjetas, disco duro SSD",,,,,,,,Intel,Core i7,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,Alder Lake,,25 MB,64 GB,DDR4,,1.000 GB,,,,,,12 núcleos,3.600 MHz,5 GHz,,,,,,Intel UHD Graphics,,,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,semitorre,negro,"42,1 cm",,corriente alterna 120/230 V,empresas,"3,6 GHz",Socket 1700,20.0,125 W,,,,,,,,,,,,,1344.99,1344.99,1344.99,Otro
MSI PRO DP21 12M-298EU,2.0,MSI Pro,,,,,Intel Core i5-12400,disco duro SSD,HDMI,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.2,,,,,,,,,,,,,,,,,,disco duro SSD,,,,IEEE 802.11ax,,,,Intel,Core i5,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,,,18 MB,8 GB,DDR4,3.200 MHz,256 GB,,,,,,6 núcleos,,"4,4 GHz",,,64-Bit,,64 GB,,,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,Desktop,,,negro,,,,empresas,"3,2 GHz",,,,,,,,,,,,,,,,799.02,835.97,817.5,Otro
ASRock Mars C4205U,1.0,,,,,,Intel Celeron 4205U,sin disco duro,,,,Ethernet,,,,,,,,,,,,,,,15 cm,,"19,4 cm",,,,,,,,,,,,0.0,,memoria compartida,ninguno,,,,,,,,DDR4,,,,,,,,,,,,,,,64 GB,Intel UHD Graphics,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,barebone,negro,"2,6 cm",,65 W / corriente alterna 120/230 V,bricolaje,,,,,,2.0,,,,,,,,,,,88.73,88.73,88.73,Otro
Shuttle XPC slim XH310RV,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"24,2 cm",,20 cm,"2,2 kg",,,,,,,,,Intel,,,,,ninguno,,,,,,,0 GB,DDR4,,,,,,,,,,,,,,,32 GB,,,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,Desktop,,desktop,negro,"7,2 cm",,90 W / corriente alterna 120/230 V,,,Socket 1151,,,Intel H310,2.0,,,,,,canal 5.1,,,,"Intel Core i3, Intel Core i5, Intel Core i7",249.55,259.55,254.55,Otro
Shuttle XPC slim DH770,2.0,Shuttle XPC,,,,,,,,,,"wifi, Ethernet",,,,,,,,,,,,,,,19 cm,,"16,5 cm","1,3 kg",,,,,,,,,Intel,,,,,ninguno,,,,,,,,DDR5,5.600 MHz,,,,,,,,,,,,,,64 GB,,,ninguno,,,,,LAN 10/100/1000/2500,,,,,,,,,,,,,,,,,,,,,,Desktop,,HTPC,negro,"4,3 cm",,120 W,bricolaje,,Socket 1700,,,Intel H770,2.0,,1.0,,,,,,,,,366.0,481.0,423.5,Otro
"Dell OptiPlex 3000 Tower
DPK2W",1.0,Dell OptiPlex,,,,,Intel Core i5-12500,disco duro M.2 SSD,,,,Ethernet,,,,,,,,,,,,,,,"29,2 cm",,"15,4 cm","6,6 kg",,,,,,,,,Intel,Core i5,1.0,,memoria compartida,Microsoft Windows 10 Professional,,,,Alder Lake,,18 MB,8 GB,DDR4,3.200 MHz,512 GB,,,,,,6 núcleos,3.000 MHz,"4,6 GHz",,,64-Bit,,64 GB,Intel UHD Graphics 770,,grabadora DVD,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,Epeat,,Desktop,,torre,negro,"32,4 cm",,180 W / corriente alterna 120/230 V,empresas,,Socket 1700,12.0,117 W,Intel B660,2.0,"1x PCIe x16, 2x PCIe x1",,,,,,,,,,869.28,869.28,869.28,Otro
"Captiva Workstation I74
Workstaiton I74-559",1.0,,,,,,Intel Core i7-13700K,disco duro SSD,,,,Ethernet,,,,,,,,,,,,,,,"46,2 cm",,"18,5 cm",,"lector de tarjetas, disco duro SSD",,,,,,,,Intel,Core i7,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,Raptor Lake,,30 MB,32 GB,DDR4,,1.000 GB,,,,,,16 núcleos,3.400 MHz,"5,4 GHz",,,,,,Intel UHD Graphics,,,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,semitorre,negro,"42,1 cm",,corriente alterna 120/230 V,empresas,"3,4 GHz",Socket 1700,24.0,125 W,,,,,,,,,,,,,1258.99,1258.99,1258.99,Otro
"Dell OptiPlex 5000 MFF
3C99X",1.0,Dell OptiPlex,,,,,Intel Core i7-12700T,disco duro M.2 SSD,,,,"Bluetooth, wifi, Ethernet",Bluetooth 5.2,,,,,,,,,,,,,,"17,8 cm",,"3,6 cm","1,33 kg",,,,,IEEE 802.11ax,,,,Intel,Core i7,1.0,,memoria compartida,Microsoft Windows 10 Professional,,,,Alder Lake,,25 MB,16 GB,DDR4,3.200 MHz,512 GB,,,,,,12 núcleos,3.400 MHz,"4,7 GHz",,,64-Bit,,64 GB,Intel UHD Graphics 770,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,Epeat,,Desktop,,factor de forma ultrapequeño (USFF),negro,"18,2 cm",,130 W / corriente alterna 120/230 V,empresas,,Socket 1700,20.0,35 W,,2.0,,,,,,,,,,,1379.88,1379.88,1379.88,Otro
"Dell Precision 3280 CFF
D8W9H",1.0,Dell Precision,,,,,Intel Core i7-14700,disco duro M.2 SSD,DisplayPort,,,Ethernet,,,,,,,,,,,,,,,"17,8 cm",,"7,9 cm","2,54 kg",disco duro SSD,,,,,,,,Intel,Core i7,1.0,,4096 MB,Microsoft Windows 11 Professional,,,,Raptor Lake Refresh,,33 MB,16 GB,DDR5,5.600 MHz,512 GB,,,,,,20 núcleos,2.100 MHz,"5,4 GHz",,GDDR6,,,128 GB,NVIDIA T1000,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,"20,6 cm",,280 W,empresas,"2,1 GHz",Socket 1700,28.0,65 W,,4.0,,,,,,,,,,,2238.62,2238.62,2238.62,Otro
Dell OptiPlex 3000 MFF,1.0,Dell OptiPlex,,,,,,disco duro M.2 SSD,,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.2,,,,,,,,,,,,,,"17,8 cm",,36 cm,,,,,,IEEE 802.11ax,,,,Intel,,1.0,,memoria compartida,Microsoft Windows 10 Professional,,,,Alder Lake,,,,DDR4,3.200 MHz,,,,,,,,,,,,64-Bit,,64 GB,,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,"18,2 cm",,65 W / corriente alterna 120/230 V,empresas,,Socket 1700,,,Intel B660,2.0,,1.0,,,,,,,,,909.18,909.18,909.18,Otro
"Dell OptiPlex 3000 MFF
YTNMW",1.0,Dell OptiPlex,,,,,Intel Core i5-12500T,disco duro M.2 SSD,,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.2,,,,,,,,,,,,,,"17,8 cm",,36 cm,"1,3 kg",,,,,IEEE 802.11ax,,,,Intel,Core i5,1.0,,memoria compartida,Microsoft Windows 10 Professional,,,,Alder Lake,,18 MB,16 GB,DDR4,3.200 MHz,512 GB,,,,,,6 núcleos,2.000 MHz,"4,4 GHz",,,64-Bit,,64 GB,Intel UHD Graphics 770,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,"18,2 cm",,65 W / corriente alterna 120/230 V,empresas,,Socket 1700,12.0,74 W,Intel B660,2.0,,1.0,,,,,,,,,909.18,909.18,909.18,Otro
"iggual ST PSIPCH
PSIPCH533",1.0,Iggual ST,,,,,Intel Core i7-11700,disco duro SSD,HDMI,,,Ethernet,,,,,,,,,,,,,,,"41,6 cm",,"17,2 cm",,disco duro SSD,,,,,,,,Intel,Core i7,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,Rocket Lake,,16 MB,16 GB,DDR4,2.666 MHz,480 GB,,,,,,8 núcleos,2.500 MHz,"4,9 GHz",,,64-Bit,,,Intel UHD Graphics 750,,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,Desktop,,semitorre,negro,"36,5 cm",,500 W / corriente alterna 120/230 V,,,Socket 1200,16.0,65 W,,,"2x PCIe x1, 1x PCIe x16",,,,,,,,,,795.65,795.65,795.65,Otro
"Acer Veriton EN2580
DT.VV3EB.00H",1.0,Acer Veriton,,,,,Intel Core i5-1135G7,disco duro SSD,,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,,,,,,,,,,,,,,"17,8 cm",,"17,09 cm",,,,,,IEEE 802.11ax,,,,Intel,Core i5,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,Tiger Lake,,8 MB,8 GB,DDR4,,512 GB,,,,,,4 núcleos,2.400 MHz,"4,2 GHz",,,64-Bit,,32 GB,Intel Iris Xe Graphics,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,negro,"3,35 cm",,65 W / corriente alterna 120/230 V,empresas,,Socket FCBGA1449,8.0,28 W,,,,,,,,,,,,,806.64,806.64,806.64,Otro
"Ouvis AMR5
5700U / 16GB / 512GB",1.0,,,,,,AMD Ryzen 7 5700U,disco duro M.2 SSD,,,,"wifi, Ethernet, Bluetooth",,,,,,,,,,,,,,,,,,,disco duro SSD,,,,,,,,AMD,Ryzen 7,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,,,8 MB,16 GB,DDR4,2.666 MHz,512 GB,,,,,,8 núcleos,1.800 MHz,"4,3 GHz",,,,,,AMD Radeon Graphics,,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,,,,,"empresas, gaming","1,8 GHz",Socket FP6,16.0,15 W,,,,,,,,,,,,,469.04,469.04,469.04,Otro
"MSI PRO DP130 11
11-068EU",1.0,MSI Pro,,,,,Intel Core i7-11700,disco duro M.2 SSD,,,,"wifi, Bluetooth",Bluetooth 5.2,,,,,,,,,,,,,,43 cm,,34 cm,"5,43 kg",disco duro SSD,,,,,,,,Intel,Core i7,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,Rocket Lake,,16 MB,8 GB,DDR4,3.200 MHz,256 GB,,,,,,8 núcleos,2.500 MHz,"4,9 GHz",,,64-Bit,,64 GB,Intel UHD Graphics 750,,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,Desktop,,torre,negro,"9,7 cm",,350 W,"profesional, empresas","2,5 GHz",Socket 1200,16.0,65 W,,2.0,,,,,,canal 7.1,,,,,1202.56,1202.56,1202.56,Otro
"Concept FutureNUC Pro
i3-1315U",1.0,Concept FutureNUC,,,,,Intel Core i3-1315U,disco duro M.2 SSD,HDMI,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,,,,,,,,,,,,,"11,2 cm",,"11,7 cm","0,58 kg",lector de tarjetas,,,,,,,,Intel,Core i3,0.0,,memoria compartida,ninguno,,,,Raptor Lake,,10 MB,,DDR4,,,,,,,,6 núcleos,1.200 MHz,"4,5 GHz",,,,,64 GB,Intel Iris Xe Graphics,,ninguno,,,,,LAN 10/100/1000/2500,,,,,,,,,,,,,,,,,,,,,,Desktop,conexión micrófono/auriculares,mini ITX,negro,"4,9 cm",,120 W,,"1,2 GHz",Socket FCBGA 1744,8.0,,,2.0,,1.0,,,,,,,,,379.0,379.0,379.0,Otro
"Shuttle XPC slim DS50U
Celeron 7305",1.0,Shuttle XPC,,,,,Intel Celeron 7305,disco duro M.2 SSD,,,,Ethernet,,,,,,,,,,,,,,,20 cm,,"3,95 cm","1,6 kg",,,,,,,,,Intel,Intel Celeron,0.0,,memoria compartida,ninguno,,,,Alder Lake,,8 MB,,DDR5,,,,,,,,,1.100 MHz,,,,,,64 GB,Intel UHD Graphics,,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,negro,"16,5 cm",,90 W,bricolaje,"1,1 GHz",,5.0,,,2.0,,,,,,,,,,,369.11,369.11,369.11,Otro
"Lenovo ThinkCentre M90t Gen3
11TV0004FR",1.0,Lenovo ThinkCentre,,,,,Intel Core i5-12600,,,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.1,,,,,,,,,,,,,,"29,8 cm",,17 cm,"6,5 kg",,,,,IEEE 802.11ax,,,,Intel,Core i5,,,memoria compartida,Microsoft Windows 11 Professional,,,,,,18 MB,16 GB,DDR5,4.400 MHz,1.000 GB,,,,,,6 núcleos,,"4,8 GHz",,,64-Bit,,128 GB,Intel UHD Graphics 770,,grabadora DVD,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,torre,negro,"37,6 cm",,300 W,profesional,"3,3 GHz",,,,,4.0,2x PCIe x16,1.0,1.0,,,,,,,,1333.26,1333.26,1333.26,Otro
"Zotac ZBOX pico PI430AJ with AirJet
Barebone",1.0,Zotac ZBOX,,,,,Intel Core i3-N300,disco duro M.2 SSD,,,,"Bluetooth, Ethernet, wifi",Bluetooth 5.2,,,,,,,,,,,,,,"7,6 cm",,"11,5 cm",,,,,,IEEE 802.11ax,,,,Intel,Core i3,0.0,,memoria compartida,ninguno,,,,,,,8 GB,DDR5,,,,,,,,8 núcleos,800 MHz,"3,8 GHz",,,,,,Intel UHD Graphics,,,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,,negro,"2,4 cm",,,,"0,8 GHz",,8.0,,,,,,,,,,,,,,468.75,468.75,468.75,Otro
"ASUS NUC 13 Pro Tall
Kit (90AB3L3H-MR4120)",1.0,,,,,,Intel Core i3-1315U,disco duro M.2 SSD,HDMI,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,,,,,,,,,,,,,"11,2 cm",,"11,7 cm","0,51 kg",,,,,Wi-Fi 6E,,,,Intel,Core i3,0.0,,memoria compartida,ninguno,,,,Raptor Lake,,10 MB,,DDR4,3.200 MHz,,,,,,,6 núcleos,1.200 MHz,"4,5 GHz",,,,,64 GB,Intel UHD Graphics,,ninguno,,,,,LAN 10/100/1000/2500,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,negro,"5,4 cm",,90 W,,"1,2 GHz",,8.0,15 W,,,,1.0,,,,,,,,,648.14,648.14,648.14,Otro
Dell OptiPlex 5000 MFF,1.0,Dell OptiPlex,,,,,,,,,,"Bluetooth, wifi, Ethernet",Bluetooth 5.2,,,,,,,,,,,,,,"17,8 cm",,"3,6 cm",,,,,,IEEE 802.11ax,,,,Intel,,1.0,,memoria compartida,,,,,Alder Lake,,,,,,,,,,,,,,,,,64-Bit,,,Intel UHD Graphics 770,,,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,Epeat,,Desktop,,factor de forma ultrapequeño (USFF),negro,"18,2 cm",,corriente alterna 120/230 V,empresas,,Socket 1700,,,,,,,,,,,,,,,1379.88,1379.88,1379.88,Otro
"Acer Veriton EN2580
DT.VV3EB.00U",1.0,Acer Veriton,,,,,Intel Core i5-1135G7,disco duro SSD,,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,,,,,,,,,,,,,,"17,8 cm",,"17,09 cm",,,,,,IEEE 802.11ax,,,,Intel,Core i5,1.0,,memoria compartida,,,,,Tiger Lake,,8 MB,8 GB,DDR4,,512 GB,,,,,,4 núcleos,2.400 MHz,"4,2 GHz",,,,,32 GB,Intel Iris Xe Graphics,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,negro,"3,35 cm",,65 W / corriente alterna 120/230 V,empresas,,Socket FCBGA1449,8.0,28 W,,,,,,,,,,,,,508.41,508.41,508.41,Otro
"ASUS NUC 14 Pro Tall
Kit (90AR0072-M001L0)",1.0,ASUS NUC,,,,,Intel Core Ultra 7 155H,disco duro M.2 SSD,HDMI,,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,,,,,,,,,,,,,"11,2 cm",,"11,7 cm",,conector de seguridad Kensington,,,,,,,,Intel,Intel Core Ultra 7,0.0,,,ninguno,,,,Meteor Lake,,24 MB,,DDR5,,,,,,,,16 núcleos,1.400 MHz,"4,8 GHz",,,,,96 GB,Intel Arc Graphics,,ninguno,,,,,LAN 10/100/1000/2500,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,,"5,4 cm",,120 W,bricolaje,"1,4 GHz",Socket FCBGA2049,22.0,28 W,,2.0,,1.0,,,,,,,,,773.26,773.26,773.26,Otro
"Lenovo ThinkCentre M90t Gen3
11TV000FFR",1.0,Lenovo ThinkCentre,,,,,Intel Core i9-12900,disco duro SSD,,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.1,,,,,,,,,,,,,,"29,8 cm",,17 cm,"6,5 kg",disco duro SSD,,,,IEEE 802.11ax,,,,Intel,Core i9,1.0,,memoria compartida,Microsoft Windows 11 Professional,,,,Alder Lake,,30 MB,16 GB,DDR5,4.400 MHz,512 GB,,,,,,16 núcleos,5.000 MHz,"5,1 GHz",,,64-Bit,,128 GB,Intel UHD Graphics,,grabadora DVD,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,torre,negro,"37,6 cm",,500 W,profesional,"2,4 GHz",Socket 1700,24.0,65 W,,4.0,2x PCIe x16,1.0,1.0,,,,,,,,1670.44,1670.44,1670.44,Otro
"Dell OptiPlex 3000 SFF
W81FV",1.0,Dell OptiPlex,,,,,Intel Core i3-12100,disco duro M.2 SSD,,,,Ethernet,,,,,,,,,,,,,,,"29,2 cm",,"9,26 cm",5 kg,,,,,,,,,Intel,Core i3,1.0,,memoria compartida,Microsoft Windows 10 Professional,,,,Alder Lake,,12 MB,8 GB,DDR4,3.200 MHz,256 GB,,,,,,4 núcleos,3.300 MHz,"4,3 GHz",,,64-Bit,,64 GB,Intel UHD Graphics 730,,grabadora DVD,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,Epeat,,Desktop,,factor de forma pequeño (SFF),negro,29 cm,,180 W / corriente alterna 120/230 V,empresas,,Socket 1700,8.0,89 W,,2.0,"1x PCIe x16, 1x PCIe x1",,,,,,,,,,609.0,609.0,609.0,Otro
"Acer Veriton EN2580
DT.VV4EB.00L",1.0,Acer Veriton,,,,,Intel Core i3-1115G4,disco duro M.2 SSD,,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,,,,,,,,,,,,,,"17,8 cm",,"17,09 cm",,disco duro SSD,,,,IEEE 802.11ax,,,,Intel,Core i3,1.0,,memoria compartida,ninguno,,,,Tiger Lake,,6 MB,8 GB,DDR4,,512 GB,,,,,,2 núcleos,1.700 MHz,"4,1 GHz",,,,,32 GB,Intel UHD Graphics,,ninguno,,,,,Ethernet 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,negro,"3,35 cm",,65 W / corriente alterna 120/230 V,empresas,,Socket FCBGA1449,4.0,28 W,,,,,,,,,,,,,456.46,456.46,456.46,Otro
"ASUS NUC 14 Pro Tall
Kit (90AR0072-M00170)",2.0,ASUS NUC,,,,,Intel Core Ultra 5 135H,disco duro M.2 SSD,HDMI,,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,,,,,,,,,,,,,"11,2 cm",,"11,7 cm","0,57 kg",conector de seguridad Kensington,,,,,,,,Intel,Intel Core Ultra 5,0.0,,memoria compartida,ninguno,,,,Meteor Lake,,18 MB,,DDR5,,,,,,,,14 núcleos,1.700 MHz,"4,6 GHz",,,,,96 GB,Intel Arc Graphics,,ninguno,,,,,LAN 10/100/1000/2500,,,,,,,,,,,,,,,,,,,,,,Desktop,,mini ITX,negro,"5,4 cm",,120 W,bricolaje,"1,7 GHz",Socket FCBGA2049,18.0,28 W,,2.0,,1.0,,,,,,,,,930.57,1055.12,992.85,Otro
